X0 DEN EST FIN GFR LAT LIT POL RUS SWD
DEN 0 965 992.3 537.6 803.5 793.1 702.2 2379.3 450
EST 965 0 260.4 1321.2 289.6 464.5 917 1537.5 595.3
FIN 992.3 260.4 0 1435.2 501 681 1108.7 1634.5 604.9
GFR 537.6 1321.2 1435.2 0 1125.7 1037.2 697.9 2654.5 929.3
LAT 803.5 289.6 501 1125.7 0 224.9 664.8 1611.7 591.2
LIT 793.1 464.5 681 1037.2 224.9 0 513.9 1666.2 676.5
POL 702.2 917 1108.7 697.9 664.8 513.9 0 2067.1 848.3
RUS 2379.3 1537.5 1634.5 2654.5 1611.7 1666.2 2067.1 0 2081.8
SWD 450 595.3 604.9 929.3 591.2 676.5 848.3 2081.8 0
