Source: http://www.cbss.org/council/coordination/ (Accessed: 22.03.2017)
Reoccuring Topics: Transportation (Via Baltica), Cultural Heritage (Ars Baltica), Transfer to market economies, Energy cooperation, Child safety, Combat crime (trafficking/drugs)
*since ~2002 increasingly coordinating relations between members and non-members of the EU

Total Amount of Documents analyzed: 37
Eco = Economic
PM = People Movement
Cap = Capital
Ser = Services
Name = Name of the Document (Preferrably official)
P = Pagenumber of Norms
Tim = Number of times the norm appears in the document

Coding: Occurence in General Document = 1
        Occurence in Specific Document = 0.5 (specific documents that exclusively deal with the norm specific subject are coded as 1)

Year    Eco P   Tim PM  P   Tim Cap P   Tim Ser P   Tim Name
2009	-	-	-	-	-	-	-	-	-	-	-	-	Declaration 15th CBSS Ministerial Session, Elsinore 4 June 2009 	2009-CBSS-15th-Ministerial-Session-Declaration-Elsinore.pdf
2010	-	-	-	-	-	-	-	-	-	-	-	-	Vilnius Declaration A Vision for the Baltic Sea Region by 2020	2010-CBSS-8th-Baltic-Sea-States-Summit-in-Vilnius-A-Vision-for-the-Baltic-Sea-Region-by-2020.doc
2011	-	-	-	-	-	-	-	-	-	-	-	-	Declaration of the 16th CBSS Ministerial Session, Oslo, 7 June 2011 	2011-CBSS-16th-Ministerial-Session-Declaration-Oslo.pdf
2012	-	-	-	-	-	-	-	-	-	-	-	-	5th CBSS Conference of Ministers of Transport MOSCOW JOINT MINISTERIAL DECLARATION (Moscow, Russian Federation, December 5, 2012 	5th-CBSS-Conference-of-Ministers-of-Transport-Declaration.pdf
2012	-	-	-	-	-	-	-	-	-	-	-	-	9th Baltic Sea States Summit Stralsund, Germany 31 May 2012 Presidential Communiqué 	2012-9th-Baltic-Sea-States-Summit-Stralsund-Germany-Presidential-Communique-ENG.pdf
2012	-	-	-	-	-	-	-	-	-	-	-	-	Declaration on Energy Security in the Baltic Sea Region Adopted by the 17th Extraordinary CBSS Ministerial Session, Schloss Ploen, 5 February 2012 	2012-CBSS-17th-Ministerial-Session-Declaration-on-Energy-Security-in-the-Baltic-Sea-Region.pdf
2013	-	-	-	-	-	-	-	-	-	-	-	-	Declaration of the 18th CBSS Ministerial Session Pionersky, the Kaliningrad Region of the Russian Federation	18th-CBSS-Ministerial-Session-Declaration.pdf
2014	-	-	-	-	-	-	-	-	-	-	-	-	Decision by the Council of the Baltic Sea States on a review of the CBSS long term priorities Decision-by-the-Council-of-the-Baltic-Sea-States-on-a-review-of-the-CBSS-long-term-priorities.pdf
2014	-	-	-	-	-	-	-	-	-	-	-	-	Declaration of the Council of the Baltic Sea States on the implementation of the Vilnius Declaration on A Vision for the Baltic Sea Region by 2020 Declaration-on-the-implementation-of-the-Vilnius-Declaration-on-A-Vision-for-the-Baltic-Sea-Region-by-2020.pdf   
2015	-	-	-	-	-	-	-	-	-	-	-	-	9th Conference of the Ministers of Culture of the Baltic Sea States, 16th of September 2015, Gdańsk 	9th-Conference-of-the-Ministers-of-Culture-of-the-Baltic-Sea-States-Final-conclusions.pdf
2016	-	-	-	-	-	-	-	-	-	-	-	-	Annex to the Warsaw Declaration Endorsed at the meeting of the Deputy Foreign Ministers of the Council of the Baltic Sea  States   CBSS-Warsaw-Declaration-Annex-8-June-2016.pdf
2016	-	-	-	-	-	-	-	-	-	-	-	-	DECLARATION Adopted by high representatives of the CBSS government institutions responsible for sustainable development Baltic 2030: Renewing the Commitment to Sustainable Development in the Baltic Sea Region CBSS-Declaration-Baltic-2030-Warsaw-6-of-June-20161.pdf
2016	-	-	-	-	-	-	-	-	-	-	-	-	Warsaw Declaration Regional Responses to Global Challenges Meeting of Deputy Foreign Ministers of the Council of the Baltic Sea States Warsaw, 8 June 2016 CBSS-Warsaw-Declaration-8-June-2016.pdf
